FECHA,Calle,Carrera,Descripcion,Origen,Destino,Periodo,Peaton,Particular,Taxi,Motociclista,Bus,Camion,Minivan,Ciclista,Tractomula,
04022020,17,115,doble via,Occidente,Oriente,10:45:00,1,55,1,33,18,24,3,4,3,
04022020,17,115,doble via,Occidente,Oriente,10:50:00,1,65,3,37,26,25,3,5,2,
04022020,17,115,doble via,Occidente,Oriente,10:55:00,2,49,4,36,27,24,2,9,5,
04022020,17,115,doble via,Occidente,Oriente,11:00:00,0,55,3,39,14,28,5,6,6,
04022020,17,115,doble via,Occidente,Oriente,11:05:00,13,51,2,26,22,15,1,6,2,
04022020,17,115,doble via,Occidente,Oriente,11:10:00,2,63,5,28,21,20,1,6,1,
04022020,17,115,doble via,Occidente,Oriente,11:15:00,0,63,3,36,24,16,0,5,5,
04022020,17,115,doble via,Occidente,Oriente,11:20:00,1,59,2,30,20,18,1,1,6,
04022020,17,115,doble via,Occidente,Oriente,11:25:00,2,51,3,32,20,12,2,5,6,
04022020,17,115,doble via,Occidente,Oriente,11:30:00,2,53,0,37,13,21,0,1,2,
04022020,17,115,doble via,Occidente,Oriente,11:35:00,2,44,6,34,19,22,0,3,1,
04022020,17,115,doble via,Occidente,Oriente,11:40:00,2,82,2,24,18,22,3,1,2,
04022020,17,115,doble via,Occidente,Oriente,11:45:00,0,57,2,21,14,16,1,1,8,
04022020,17,115,doble via,Occidente,Oriente,11:50:00,1,68,3,43,29,28,3,1,4,
04022020,17,115,doble via,Occidente,Oriente,11:55:00,3,56,4,44,20,23,1,3,5,
04022020,17,115,doble via,Occidente,Oriente,12:00:00,1,58,0,36,17,16,2,4,5,
04022020,17,115,doble via,Occidente,Oriente,12:05:00,4,62,2,37,25,24,3,4,6,
04022020,17,115,doble via,Occidente,Oriente,12:10:00,1,66,4,31,32,40,11,4,2,
04022020,17,115,doble via,Occidente,Oriente,12:15:00,4,59,2,27,19,41,1,0,4,
04022020,17,115,doble via,Occidente,Oriente,12:20:00,3,72,3,43,11,25,7,0,7,
04022020,17,115,doble via,Occidente,Oriente,12:25:00,0,60,4,33,19,32,3,5,9,
04022020,17,115,doble via,Occidente,Oriente,12:30:00,1,74,2,28,26,18,3,1,3,
04022020,17,115,doble via,Occidente,Oriente,12:35:00,2,68,1,30,24,31,2,3,6,
04022020,17,115,doble via,Occidente,Oriente,12:40:00,2,62,4,29,17,30,2,0,6,
04022020,17,115,doble via,Occidente,Oriente,12:45:00,0,54,5,30,24,30,2,1,11,
04022020,17,115,doble via,Occidente,Oriente,12:50:00,2,72,1,37,22,24,3,1,8,
04022020,17,115,doble via,Occidente,Oriente,12:55:00,2,60,3,45,22,14,2,0,7,
04022020,17,115,doble via,Occidente,Oriente,13:00:00,3,67,2,42,24,23,3,0,4,
04022020,17,115,doble via,Occidente,Oriente,13:05:00,0,62,2,31,28,31,2,0,3,
04022020,17,115,doble via,Occidente,Oriente,13:10:00,0,59,4,45,20,25,1,0,1,
04022020,17,115,doble via,Occidente,Oriente,13:15:00,2,66,2,31,26,24,4,0,5,
04022020,17,115,doble via,Occidente,Oriente,13:20:00,1,51,1,36,26,32,1,0,2,
04022020,17,115,doble via,Occidente,Oriente,13:25:00,2,63,5,52,16,14,3,1,2,
04022020,17,115,doble via,Occidente,Oriente,13:30:00,0,81,3,39,23,36,4,6,7,
04022020,17,115,doble via,Occidente,Oriente,13:35:00,1,62,9,32,36,21,6,0,5,
04022020,17,115,doble via,Occidente,Oriente,13:40:00,0,44,4,48,9,24,0,1,8,
04022020,17,115,doble via,Occidente,Oriente,13:45:00,3,41,2,39,11,20,3,0,5,
04022020,17,115,doble via,Occidente,Oriente,13:50:00,1,41,4,40,10,18,0,0,4,
04022020,17,115,doble via,Occidente,Oriente,13:55:00,1,68,3,17,7,26,5,1,11,
04022020,17,115,doble via,Occidente,Oriente,14:00:00,2,61,1,35,24,16,0,1,6,
04022020,17,115,doble via,Occidente,Oriente,14:05:00,1,55,4,30,29,17,2,0,7,
04022020,17,115,doble via,Occidente,Oriente,14:10:00,2,66,3,47,28,24,4,0,10,
04022020,17,115,doble via,Occidente,Oriente,14:15:00,1,64,1,49,31,26,5,0,2,
04022020,17,115,doble via,Occidente,Oriente,14:20:00,3,46,5,52,24,22,3,6,8,
04022020,17,115,doble via,Occidente,Oriente,14:25:00,5,73,1,76,34,26,3,5,4,
04022020,17,115,doble via,Occidente,Oriente,14:30:00,1,71,1,63,14,30,5,6,11,
04022020,17,115,doble via,Occidente,Oriente,14:35:00,4,58,5,47,23,30,3,4,8,
04022020,17,115,doble via,Occidente,Oriente,14:40:00,1,41,0,64,19,34,3,8,5,
04022020,17,115,doble via,Occidente,Oriente,14:45:00,0,55,3,50,18,20,5,5,3,
04022020,17,115,doble via,Occidente,Oriente,14:50:00,5,62,3,46,22,27,4,1,3,
04022020,17,115,doble via,Occidente,Oriente,14:55:00,0,43,1,53,19,13,1,1,3,
04022020,17,115,doble via,Occidente,Oriente,15:00:00,5,30,1,42,13,23,1,1,3,
04022020,17,115,doble via,Occidente,Oriente,15:05:00,3,35,1,34,14,13,2,1,2,
04022020,17,115,doble via,Occidente,Oriente,15:10:00,7,45,1,36,13,21,5,0,3,
04022020,17,115,doble via,Occidente,Oriente,15:15:00,0,34,1,44,21,27,1,0,6,
04022020,17,115,doble via,Occidente,Oriente,15:20:00,1,53,4,44,19,25,2,0,2,
04022020,17,115,doble via,Occidente,Oriente,15:25:00,3,53,2,25,19,16,3,1,7,
04022020,17,115,doble via,Occidente,Oriente,15:30:00,5,63,3,43,24,29,5,5,3,
04022020,17,115,doble via,Occidente,Oriente,15:35:00,2,43,2,48,20,31,6,3,6,
04022020,17,115,doble via,Occidente,Oriente,15:40:00,3,42,5,45,25,29,6,2,5,
04022020,17,115,doble via,Occidente,Oriente,15:45:00,5,34,3,33,22,18,2,2,7,
04022020,17,115,doble via,Occidente,Oriente,15:50:00,3,42,1,44,23,31,5,2,2,
04022020,17,115,doble via,Occidente,Oriente,15:55:00,4,40,1,42,25,23,11,8,6,
04022020,17,115,doble via,Occidente,Oriente,16:00:00,11,57,6,53,17,35,6,10,9,
04022020,17,115,doble via,Occidente,Oriente,16:05:00,9,41,3,50,18,21,7,17,4,
04022020,17,115,doble via,Occidente,Oriente,16:10:00,8,42,6,59,15,21,4,24,7,
04022020,17,115,doble via,Occidente,Oriente,16:15:00,6,44,4,77,19,37,4,45,8,
04022020,17,115,doble via,Occidente,Oriente,16:20:00,6,50,3,69,28,35,4,44,5,
04022020,17,115,doble via,Occidente,Oriente,16:25:00,3,49,1,68,24,32,8,23,3,
04022020,17,115,doble via,Occidente,Oriente,16:30:00,3,51,1,77,25,32,6,20,5,
04022020,17,115,doble via,Occidente,Oriente,16:35:00,4,52,5,52,25,24,2,30,4,
04022020,17,115,doble via,Occidente,Oriente,16:40:00,7,44,4,68,18,20,6,47,3,
04022020,17,115,doble via,Occidente,Oriente,16:45:00,3,60,3,70,27,30,6,39,3,
04022020,17,115,doble via,Occidente,Oriente,16:50:00,11,58,2,71,23,28,3,41,5,
04022020,17,115,doble via,Occidente,Oriente,16:55:00,2,60,4,90,24,31,3,44,2,
04022020,17,115,doble via,Occidente,Oriente,17:00:00,4,47,1,101,18,37,2,49,3,
04022020,17,115,doble via,Occidente,Oriente,17:05:00,6,48,5,91,23,22,4,35,5,
04022020,17,115,doble via,Occidente,Oriente,17:10:00,6,53,4,139,23,21,3,71,11,
04022020,17,115,doble via,Occidente,Oriente,17:15:00,6,32,0,90,31,25,5,65,3,
04022020,17,115,doble via,Occidente,Oriente,17:20:00,2,36,1,110,21,17,4,70,5,
04022020,17,115,doble via,Occidente,Oriente,17:25:00,4,40,3,103,21,19,1,68,5,
04022020,17,115,doble via,Occidente,Oriente,17:30:00,5,36,3,134,24,32,7,61,7,
04022020,17,115,doble via,Occidente,Oriente,17:35:00,8,46,1,133,20,30,1,61,4,
04022020,17,115,doble via,Occidente,Oriente,17:40:00,5,43,5,136,27,15,3,70,5,
04022020,17,115,doble via,Occidente,Oriente,17:45:00,7,38,5,107,31,22,3,57,4,
04022020,17,115,doble via,Occidente,Oriente,17:50:00,5,27,1,113,20,22,3,61,2,
04022020,17,115,doble via,Occidente,Oriente,17:55:00,7,55,3,93,22,33,4,51,4,
04022020,17,115,doble via,Oriente,Occidente,06:00:00,10,34,3,69,23,16,2,15,6,
04022020,17,115,doble via,Oriente,Occidente,06:05:00,7,38,2,76,19,16,1,20,6,
04022020,17,115,doble via,Oriente,Occidente,06:10:00,3,39,3,97,16,21,0,21,7,
04022020,17,115,doble via,Oriente,Occidente,06:15:00,13,43,0,120,26,29,2,15,3,
04022020,17,115,doble via,Oriente,Occidente,06:20:00,10,34,1,108,19,22,5,16,7,
04022020,17,115,doble via,Oriente,Occidente,06:25:00,8,47,0,108,24,16,2,7,9,
04022020,17,115,doble via,Oriente,Occidente,06:30:01,3,35,1,99,25,19,1,11,7,
04022020,17,115,doble via,Oriente,Occidente,06:35:00,1,45,1,81,21,4,3,17,3,
04022020,17,115,doble via,Oriente,Occidente,06:40:00,3,41,0,63,11,7,1,17,2,
04022020,17,115,doble via,Oriente,Occidente,06:45:00,2,27,2,44,10,4,4,19,0,
04022020,17,115,doble via,Oriente,Occidente,06:50:00,4,23,0,47,8,9,1,12,0,
04022020,17,115,doble via,Oriente,Occidente,06:55:00,3,45,2,59,17,12,1,12,2,
04022020,17,115,doble via,Oriente,Occidente,07:00:00,4,56,0,74,18,19,5,12,2,
04022020,17,115,doble via,Oriente,Occidente,07:05:00,6,44,1,75,18,25,1,10,2,
04022020,17,115,doble via,Oriente,Occidente,07:10:00,17,58,0,72,14,25,3,15,1,
04022020,17,115,doble via,Oriente,Occidente,07:15:00,48,30,4,63,18,7,1,30,0,
04022020,17,115,doble via,Oriente,Occidente,07:20:00,48,69,4,78,12,23,4,26,1,
04022020,17,115,doble via,Oriente,Occidente,07:25:00,72,32,2,76,16,15,1,35,0,
04022020,17,115,doble via,Oriente,Occidente,07:30:00,39,65,8,105,19,26,7,28,1,
04022020,17,115,doble via,Oriente,Occidente,07:35:00,43,64,3,99,31,19,8,19,0,
04022020,17,115,doble via,Oriente,Occidente,07:40:00,50,43,2,77,18,34,6,10,3,
04022020,17,115,doble via,Oriente,Occidente,07:45:00,50,51,5,94,25,27,0,10,3,
04022020,17,115,doble via,Oriente,Occidente,07:50:00,39,43,4,90,13,23,2,15,4,
04022020,17,115,doble via,Oriente,Occidente,07:55:00,36,50,1,88,22,28,4,8,0,
04022020,17,115,doble via,Oriente,Occidente,08:00:00,24,42,5,65,14,26,4,8,1,
04022020,17,115,doble via,Oriente,Occidente,08:05:00,25,50,2,58,22,16,1,9,3,
04022020,17,115,doble via,Oriente,Occidente,08:10:00,14,25,2,63,14,27,4,4,1,
04022020,17,115,doble via,Oriente,Occidente,08:15:00,12,42,3,63,19,23,4,6,0,
04022020,17,115,doble via,Oriente,Occidente,08:20:00,13,60,5,48,18,24,0,4,1,
04022020,17,115,doble via,Oriente,Occidente,08:25:00,12,48,2,37,19,34,0,3,1,
04022020,17,115,doble via,Oriente,Occidente,08:30:00,25,56,3,40,27,30,4,4,0,
04022020,17,115,doble via,Oriente,Occidente,08:35:00,15,58,3,45,18,25,4,2,2,
04022020,17,115,doble via,Oriente,Occidente,08:40:00,16,53,3,50,12,36,8,4,2,
04022020,17,115,doble via,Oriente,Occidente,08:45:00,15,55,4,48,24,26,7,5,1,
04022020,17,115,doble via,Oriente,Occidente,08:50:00,17,60,1,32,15,33,2,2,2,
04022020,17,115,doble via,Oriente,Occidente,08:55:00,15,58,0,34,21,23,2,3,0,
04022020,17,115,doble via,Oriente,Occidente,09:00:00,12,57,3,43,18,33,4,3,2,
04022020,17,115,doble via,Oriente,Occidente,09:05:00,11,66,4,40,21,25,4,2,3,
04022020,17,115,doble via,Oriente,Occidente,09:10:00,5,80,1,35,19,19,7,6,0,
04022020,17,115,doble via,Oriente,Occidente,09:15:00,6,63,1,49,10,20,4,3,0,
04022020,17,115,doble via,Oriente,Occidente,09:20:00,14,83,6,56,16,23,7,5,0,
04022020,17,115,doble via,Oriente,Occidente,09:25:00,7,84,2,40,12,16,2,4,0,
04022020,17,115,doble via,Oriente,Occidente,09:30:00,5,73,2,43,23,20,7,4,0,
04022020,17,115,doble via,Oriente,Occidente,09:35:00,4,69,1,31,12,30,4,5,1,
04022020,17,115,doble via,Oriente,Occidente,09:40:00,7,85,2,36,7,25,2,7,1,
04022020,17,115,doble via,Oriente,Occidente,09:45:00,1,77,5,34,21,26,5,5,1,
04022020,17,115,doble via,Oriente,Occidente,09:50:00,4,80,3,35,16,20,4,5,2,
04022020,17,115,doble via,Oriente,Occidente,09:55:00,5,56,2,25,7,25,4,3,0,
04022020,17,115,doble via,Oriente,Occidente,10:00:00,1,60,2,34,13,23,5,4,0,
04022020,17,115,doble via,Oriente,Occidente,10:05:00,4,57,3,42,15,28,7,3,5,
04022020,17,115,doble via,Oriente,Occidente,10:10:00,2,65,0,38,8,33,1,3,2,
04022020,17,115,doble via,Oriente,Occidente,10:15:00,1,51,1,33,16,37,2,3,0,
04022020,17,115,doble via,Oriente,Occidente,10:20:00,2,52,0,29,12,20,1,5,3,
04022020,17,115,doble via,Oriente,Occidente,10:25:00,4,41,3,32,17,24,2,9,3,
04022020,17,115,doble via,Oriente,Occidente,10:30:00,2,47,1,28,13,40,2,6,3,
04022020,17,115,doble via,Oriente,Occidente,10:35:00,2,64,3,31,21,31,2,4,2,
04022020,17,115,doble via,Oriente,Occidente,10:40:00,0,78,6,45,12,23,3,4,1,
04022020,17,115,doble via,Oriente,Occidente,10:45:00,1,55,4,33,9,35,2,6,1,
04022020,17,115,doble via,Oriente,Occidente,10:50:00,3,50,2,30,7,32,2,7,4,
04022020,17,115,doble via,Oriente,Occidente,10:55:00,0,56,2,33,10,35,0,2,4,
04022020,17,115,doble via,Oriente,Occidente,11:00:00,0,47,4,31,12,37,1,3,2,
04022020,17,115,doble via,Oriente,Occidente,11:05:00,20,46,2,25,10,28,2,6,5,
04022020,17,115,doble via,Oriente,Occidente,11:10:00,1,40,2,30,6,22,5,2,1,
04022020,17,115,doble via,Oriente,Occidente,11:15:00,2,52,4,36,13,22,4,8,0,
04022020,17,115,doble via,Oriente,Occidente,11:20:00,1,56,1,33,8,33,3,4,3,
04022020,17,115,doble via,Oriente,Occidente,11:25:00,2,74,5,34,12,32,4,4,1,
04022020,17,115,doble via,Oriente,Occidente,11:30:00,2,53,1,33,11,37,1,3,4,
04022020,17,115,doble via,Oriente,Occidente,11:35:00,0,54,4,35,6,33,5,8,3,
04022020,17,115,doble via,Oriente,Occidente,11:40:00,1,69,5,38,17,35,6,3,3,
04022020,17,115,doble via,Oriente,Occidente,11:45:00,1,61,5,28,13,39,6,6,2,
04022020,17,115,doble via,Oriente,Occidente,11:50:00,0,37,1,13,9,17,2,0,5,
04022020,17,115,doble via,Oriente,Occidente,11:55:00,0,24,1,4,9,31,3,0,2,
04022020,17,115,doble via,Oriente,Occidente,12:00:00,0,21,1,5,2,14,1,2,3,
04022020,17,115,doble via,Oriente,Occidente,12:05:00,1,22,0,3,5,20,2,0,1,
04022020,17,115,doble via,Oriente,Occidente,12:10:00,0,31,1,3,6,23,5,0,1,
04022020,17,115,doble via,Oriente,Occidente,12:15:00,0,35,2,5,7,25,2,1,7,
04022020,17,115,doble via,Oriente,Occidente,12:20:00,1,29,1,8,11,28,6,0,4,
04022020,17,115,doble via,Oriente,Occidente,12:25:00,1,19,1,5,2,14,2,0,3,
04022020,17,115,doble via,Oriente,Occidente,12:30:00,0,18,0,1,7,18,1,0,1,
04022020,17,115,doble via,Oriente,Occidente,12:35:00,2,31,0,5,12,21,4,0,3,
04022020,17,115,doble via,Oriente,Occidente,12:40:00,0,19,2,5,4,26,1,1,1,
04022020,17,115,doble via,Oriente,Occidente,12:45:00,1,22,0,6,7,28,6,1,0,
04022020,17,115,doble via,Oriente,Occidente,12:50:00,1,17,2,9,10,24,8,3,2,
04022020,17,115,doble via,Oriente,Occidente,12:55:00,3,32,0,8,9,12,5,1,4,
04022020,17,115,doble via,Oriente,Occidente,13:00:00,0,34,2,8,5,21,5,0,1,
04022020,17,115,doble via,Oriente,Occidente,13:05:00,0,22,1,10,3,30,2,0,1,
04022020,17,115,doble via,Oriente,Occidente,13:10:00,0,21,0,5,9,22,2,0,0,
04022020,17,115,doble via,Oriente,Occidente,13:15:00,3,32,3,11,8,34,6,0,3,
04022020,17,115,doble via,Oriente,Occidente,13:20:00,0,29,2,15,11,29,3,2,3,
04022020,17,115,doble via,Oriente,Occidente,13:25:00,2,10,0,10,10,11,2,8,3,
04022020,17,115,doble via,Oriente,Occidente,13:30:00,1,15,1,8,5,11,1,3,3,
04022020,17,115,doble via,Oriente,Occidente,13:35:00,0,24,0,5,7,21,3,1,7,
04022020,17,115,doble via,Oriente,Occidente,13:40:00,0,8,0,3,3,9,2,0,6,
04022020,17,115,doble via,Oriente,Occidente,13:45:00,0,23,1,3,6,11,1,1,0,
04022020,17,115,doble via,Oriente,Occidente,13:50:00,0,6,1,2,1,7,2,0,0,
04022020,17,115,doble via,Oriente,Occidente,13:55:00,1,27,4,2,4,26,7,2,7,
04022020,17,115,doble via,Oriente,Occidente,14:00:00,3,41,3,7,4,26,2,4,3,
04022020,17,115,doble via,Oriente,Occidente,14:05:00,3,62,2,3,13,30,3,1,1,
04022020,17,115,doble via,Oriente,Occidente,14:10:00,3,53,1,14,10,31,5,1,1,
04022020,17,115,doble via,Oriente,Occidente,14:15:00,2,47,4,24,9,21,4,2,2,
04022020,17,115,doble via,Oriente,Occidente,14:20:00,6,27,2,8,10,11,3,2,0,
04022020,17,115,doble via,Oriente,Occidente,14:25:00,2,28,1,4,6,15,4,1,2,
04022020,17,115,doble via,Oriente,Occidente,14:30:00,0,46,1,7,11,30,5,1,3,
04022020,17,115,doble via,Oriente,Occidente,14:35:00,1,57,3,40,11,34,6,3,1,
04022020,17,115,doble via,Oriente,Occidente,14:40:00,3,55,2,31,22,29,8,8,0,
04022020,17,115,doble via,Oriente,Occidente,14:45:00,4,56,2,38,16,28,5,3,2,
04022020,17,115,doble via,Oriente,Occidente,14:50:00,5,52,4,38,10,35,5,3,2,
04022020,17,115,doble via,Oriente,Occidente,14:55:00,6,53,2,29,13,28,0,6,2,
04022020,17,115,doble via,Oriente,Occidente,15:00:00,11,45,4,30,12,38,7,5,1,
04022020,17,115,doble via,Oriente,Occidente,15:05:00,5,46,2,36,18,27,6,3,0,
04022020,17,115,doble via,Oriente,Occidente,15:10:00,4,48,5,27,9,26,8,6,0,
04022020,17,115,doble via,Oriente,Occidente,15:15:00,3,45,3,31,14,33,3,3,2,
04022020,17,115,doble via,Oriente,Occidente,15:20:00,3,53,9,35,12,25,6,5,0,
04022020,17,115,doble via,Oriente,Occidente,15:25:00,4,33,2,22,24,28,3,6,0,
04022020,17,115,doble via,Oriente,Occidente,15:30:00,5,34,4,16,16,22,7,3,4,
04022020,17,115,doble via,Oriente,Occidente,15:35:00,3,38,3,18,15,26,6,6,2,
04022020,17,115,doble via,Oriente,Occidente,15:40:00,4,37,4,28,15,26,6,6,0,
04022020,17,115,doble via,Oriente,Occidente,15:45:00,14,39,6,23,9,24,3,7,2,
04022020,17,115,doble via,Oriente,Occidente,15:50:00,6,37,8,18,16,30,6,6,4,
04022020,17,115,doble via,Oriente,Occidente,15:55:00,7,41,2,26,6,35,5,11,3,
04022020,17,115,doble via,Oriente,Occidente,16:00:00,19,55,8,15,15,32,10,17,1,
04022020,17,115,doble via,Oriente,Occidente,16:05:00,20,45,5,9,19,32,8,14,0,
04022020,17,115,doble via,Oriente,Occidente,16:10:00,14,51,4,18,10,41,8,12,0,
04022020,17,115,doble via,Oriente,Occidente,16:15:00,18,43,7,28,15,22,6,13,2,
04022020,17,115,doble via,Oriente,Occidente,16:20:00,9,53,4,40,14,36,6,16,1,
04022020,17,115,doble via,Oriente,Occidente,16:25:00,11,40,4,46,15,38,4,15,0,
04022020,17,115,doble via,Oriente,Occidente,16:30:00,10,39,6,19,14,32,3,17,0,
04022020,17,115,doble via,Oriente,Occidente,16:35:00,9,48,4,39,17,27,4,22,1,
04022020,17,115,doble via,Oriente,Occidente,16:40:00,5,46,4,44,18,23,3,23,1,
04022020,17,115,doble via,Oriente,Occidente,16:45:00,3,50,2,46,26,31,7,14,1,
04022020,17,115,doble via,Oriente,Occidente,16:50:00,7,59,2,43,13,30,2,12,0,
04022020,17,115,doble via,Oriente,Occidente,16:55:00,1,45,6,50,17,18,11,17,1,
04022020,17,115,doble via,Oriente,Occidente,17:00:00,3,44,4,43,11,29,4,14,0,
04022020,17,115,doble via,Oriente,Occidente,17:05:00,16,44,4,60,12,34,7,14,1,
04022020,17,115,doble via,Oriente,Occidente,17:10:00,5,43,3,55,27,30,4,23,3,
04022020,17,115,doble via,Oriente,Occidente,17:15:00,5,43,3,68,16,22,7,22,2,
04022020,17,115,doble via,Oriente,Occidente,17:20:00,4,61,6,64,12,35,10,28,3,
04022020,17,115,doble via,Oriente,Occidente,17:25:00,6,46,6,81,17,23,6,32,5,
04022020,17,115,doble via,Oriente,Occidente,17:30:00,6,64,0,68,13,32,5,35,2,
04022020,17,115,doble via,Oriente,Occidente,17:35:00,8,62,2,89,10,24,4,27,4,
04022020,17,115,doble via,Oriente,Occidente,17:40:00,5,73,4,82,16,27,7,20,0,
04022020,17,115,doble via,Oriente,Occidente,17:45:00,7,65,9,75,22,24,5,20,2,
04022020,17,115,doble via,Oriente,Occidente,17:50:00,3,60,8,67,12,36,11,31,3,
04022020,17,115,doble via,Oriente,Occidente,17:55:00,3,76,5,92,13,30,4,23,7,
